LineItem,Period,Value,Unit,ValueRaw,Company,Section
Cash from Investing Activity,FY2022,-1732.0,Cr,"-1,732",HUL,CashFlow
Cash from Investing Activity,FY2023,-1062.0,Cr,"-1,062",HUL,CashFlow
Cash from Investing Activity,FY2024,-4971.0,Cr,"-4,971",HUL,CashFlow
Cash from Investing Activity,FY2025,6763.0,Cr,"6,763",HUL,CashFlow
Cash from Investing Activity,FY2026,-3473.0,Cr,"-3,473",HUL,CashFlow
Cash from Financing Activity,FY2015,-3450.0,Cr,"-3,450",HUL,CashFlow
Cash from Financing Activity,FY2016,-4008.0,Cr,"-4,008",HUL,CashFlow
Cash from Financing Activity,FY2017,-4264.0,Cr,"-4,264",HUL,CashFlow
Cash from Financing Activity,FY2018,-4651.0,Cr,"-4,651",HUL,CashFlow
Cash from Financing Activity,FY2019,-5462.0,Cr,"-5,462",HUL,CashFlow
Cash from Financing Activity,FY2020,-6676.0,Cr,"-6,676",HUL,CashFlow
Cash from Financing Activity,FY2021,-9280.0,Cr,"-9,280",HUL,CashFlow
Cash from Financing Activity,FY2022,-7984.0,Cr,"-7,984",HUL,CashFlow
Cash from Financing Activity,FY2023,-8966.0,Cr,"-8,966",HUL,CashFlow
Cash from Financing Activity,FY2024,-9890.0,Cr,"-9,890",HUL,CashFlow
Cash from Financing Activity,FY2025,-13031.0,Cr,"-13,031",HUL,CashFlow
Cash from Financing Activity,FY2026,-10684.0,Cr,"-10,684",HUL,CashFlow
Net Cash Flow,FY2015,101.0,Cr,101,HUL,CashFlow
Net Cash Flow,FY2016,-85.0,Cr,-85,HUL,CashFlow
Net Cash Flow,FY2017,-63.0,Cr,-63,HUL,CashFlow
Net Cash Flow,FY2018,1.0,Cr,1,HUL,CashFlow
Net Cash Flow,FY2019,2.0,Cr,2,HUL,CashFlow
Net Cash Flow,FY2020,2555.0,Cr,"2,555",HUL,CashFlow
Net Cash Flow,FY2021,-1390.0,Cr,"-1,390",HUL,CashFlow
Net Cash Flow,FY2022,-752.0,Cr,-752,HUL,CashFlow
Net Cash Flow,FY2023,-402.0,Cr,-402,HUL,CashFlow
Net Cash Flow,FY2024,23.0,Cr,23,HUL,CashFlow
Net Cash Flow,FY2025,5338.0,Cr,"5,338",HUL,CashFlow
Net Cash Flow,FY2026,-3661.0,Cr,"-3,661",HUL,CashFlow
Free Cash Flow,FY2015,3298.0,Cr,"3,298",HUL,CashFlow
Free Cash Flow,FY2016,3300.0,Cr,"3,300",HUL,CashFlow
Free Cash Flow,FY2017,4101.0,Cr,"4,101",HUL,CashFlow
Free Cash Flow,FY2018,5086.0,Cr,"5,086",HUL,CashFlow
Free Cash Flow,FY2019,5004.0,Cr,"5,004",HUL,CashFlow
Free Cash Flow,FY2020,6592.0,Cr,"6,592",HUL,CashFlow
Free Cash Flow,FY2021,5003.0,Cr,"5,003",HUL,CashFlow
Free Cash Flow,FY2022,8220.0,Cr,"8,220",HUL,CashFlow
Free Cash Flow,FY2023,8765.0,Cr,"8,765",HUL,CashFlow
Free Cash Flow,FY2024,13586.0,Cr,"13,586",HUL,CashFlow
Free Cash Flow,FY2025,10470.0,Cr,"10,470",HUL,CashFlow
Free Cash Flow,FY2026,9251.0,Cr,"9,251",HUL,CashFlow
CFO/OP,FY2015,97.0,%,97%,HUL,CashFlow
CFO/OP,FY2016,99.0,%,99%,HUL,CashFlow
CFO/OP,FY2017,111.0,%,111%,HUL,CashFlow
CFO/OP,FY2018,111.0,%,111%,HUL,CashFlow
CFO/OP,FY2019,97.0,%,97%,HUL,CashFlow
CFO/OP,FY2020,102.0,%,102%,HUL,CashFlow
CFO/OP,FY2021,100.0,%,100%,HUL,CashFlow
CFO/OP,FY2022,93.0,%,93%,HUL,CashFlow
CFO/OP,FY2023,93.0,%,93%,HUL,CashFlow
CFO/OP,FY2024,107.0,%,107%,HUL,CashFlow
CFO/OP,FY2025,97.0,%,97%,HUL,CashFlow
CFO/OP,FY2026,105.0,%,105%,HUL,CashFlow
Sales,FY2015,36490.0,Cr,"36,490",ITC,P&L
Sales,FY2016,36583.0,Cr,"36,583",ITC,P&L
Sales,FY2017,40080.0,Cr,"40,080",ITC,P&L
Sales,FY2018,40620.0,Cr,"40,620",ITC,P&L
Sales,FY2019,44983.0,Cr,"44,983",ITC,P&L
Sales,FY2020,45620.0,Cr,"45,620",ITC,P&L
Sales,FY2021,45485.0,Cr,"45,485",ITC,P&L
Sales,FY2022,56341.0,Cr,"56,341",ITC,P&L
Sales,FY2023,66043.0,Cr,"66,043",ITC,P&L
Sales,FY2024,62628.0,Cr,"62,628",ITC,P&L
Sales,FY2025,69326.0,Cr,"69,326",ITC,P&L
Sales,FY2026,71984.0,Cr,"71,984",ITC,P&L
Expenses,FY2015,22970.0,Cr,"22,970",ITC,P&L
Expenses,FY2016,22843.0,Cr,"22,843",ITC,P&L
Expenses,FY2017,25474.0,Cr,"25,474",ITC,P&L
Expenses,FY2018,25041.0,Cr,"25,041",ITC,P&L
Expenses,FY2019,27551.0,Cr,"27,551",ITC,P&L
Expenses,FY2020,27635.0,Cr,"27,635",ITC,P&L
Expenses,FY2021,29895.0,Cr,"29,895",ITC,P&L
Expenses,FY2022,37448.0,Cr,"37,448",ITC,P&L
Expenses,FY2023,42062.0,Cr,"42,062",ITC,P&L
Expenses,FY2024,39193.0,Cr,"39,193",ITC,P&L
Expenses,FY2025,45419.0,Cr,"45,419",ITC,P&L
Expenses,FY2026,46787.0,Cr,"46,787",ITC,P&L
Operating Profit,FY2015,13519.0,Cr,"13,519",ITC,P&L
Operating Profit,FY2016,13740.0,Cr,"13,740",ITC,P&L
Operating Profit,FY2017,14605.0,Cr,"14,605",ITC,P&L
Operating Profit,FY2018,15578.0,Cr,"15,578",ITC,P&L
Operating Profit,FY2019,17431.0,Cr,"17,431",ITC,P&L
Operating Profit,FY2020,17985.0,Cr,"17,985",ITC,P&L
Operating Profit,FY2021,15590.0,Cr,"15,590",ITC,P&L
Operating Profit,FY2022,18893.0,Cr,"18,893",ITC,P&L
Operating Profit,FY2023,23981.0,Cr,"23,981",ITC,P&L
Operating Profit,FY2024,23435.0,Cr,"23,435",ITC,P&L
Operating Profit,FY2025,23906.0,Cr,"23,906",ITC,P&L
Operating Profit,FY2026,25196.0,Cr,"25,196",ITC,P&L
OPM %,FY2015,37.0,%,37%,ITC,P&L
OPM %,FY2016,38.0,%,38%,ITC,P&L
OPM %,FY2017,36.0,%,36%,ITC,P&L
OPM %,FY2018,38.0,%,38%,ITC,P&L
OPM %,FY2019,39.0,%,39%,ITC,P&L
OPM %,FY2020,39.0,%,39%,ITC,P&L
OPM %,FY2021,34.0,%,34%,ITC,P&L
OPM %,FY2022,34.0,%,34%,ITC,P&L
OPM %,FY2023,36.0,%,36%,ITC,P&L
OPM %,FY2024,37.0,%,37%,ITC,P&L
OPM %,FY2025,34.0,%,34%,ITC,P&L
OPM %,FY2026,35.0,%,35%,ITC,P&L
Other Income,FY2015,1518.0,Cr,"1,518",ITC,P&L
Other Income,FY2016,1767.0,Cr,"1,767",ITC,P&L
Other Income,FY2017,1981.0,Cr,"1,981",ITC,P&L
Other Income,FY2018,2528.0,Cr,"2,528",ITC,P&L
Other Income,FY2019,2382.0,Cr,"2,382",ITC,P&L
Other Income,FY2020,2825.0,Cr,"2,825",ITC,P&L
Other Income,FY2021,3195.0,Cr,"3,195",ITC,P&L
Other Income,FY2022,2649.0,Cr,"2,649",ITC,P&L
Other Income,FY2023,2506.0,Cr,"2,506",ITC,P&L
Other Income,FY2024,4100.0,Cr,"4,100",ITC,P&L
Other Income,FY2025,19206.0,Cr,"19,206",ITC,P&L
Other Income,FY2026,3115.0,Cr,"3,115",ITC,P&L
Interest,FY2015,78.0,Cr,78,ITC,P&L
Interest,FY2016,72.0,Cr,72,ITC,P&L
Interest,FY2017,45.0,Cr,45,ITC,P&L
Interest,FY2018,110.0,Cr,110,ITC,P&L
Interest,FY2019,58.0,Cr,58,ITC,P&L
Interest,FY2020,80.0,Cr,80,ITC,P&L
Interest,FY2021,59.0,Cr,59,ITC,P&L
Interest,FY2022,61.0,Cr,61,ITC,P&L
Interest,FY2023,74.0,Cr,74,ITC,P&L
Interest,FY2024,34.0,Cr,34,ITC,P&L
Interest,FY2025,36.0,Cr,36,ITC,P&L
Interest,FY2026,70.0,Cr,70,ITC,P&L
Depreciation,FY2015,962.0,Cr,962,ITC,P&L
Depreciation,FY2016,1001.0,Cr,"1,001",ITC,P&L
Depreciation,FY2017,1038.0,Cr,"1,038",ITC,P&L
Depreciation,FY2018,1145.0,Cr,"1,145",ITC,P&L
Depreciation,FY2019,1312.0,Cr,"1,312",ITC,P&L
